generation,string,error,chain
0,RGRYYGGBRBYB,0.5,B
0,YRGRYBBGGYRB,0.461538462,B
0,BBRRGYRYGYGB,0.25,B
0,BGYBGRYRYBRG,0.25,B
0,GBRYRBBRGYGY,0.384615385,B
0,RBRYBGBGRYGY,0.428571429,B
0,GYRBGRYRBBGY,0.5,B
0,YYRRGYBRGBGB,0.428571429,B
0,RYGGRBGRBYYB,0.416666667,B
0,BYYBYRGRBRGG,0.230769231,B
0,BRYGRRBGYBGY,0.333333333,B
0,RYBGGYBYRBGR,0.285714286,B
0,BRYYBGGRBRGY,0.384615385,B
0,RGYBBYGGYRRB,0.384615385,B
0,BRYYGGBRBRGY,0,B
0,GRYGYBYRGBRB,0.461538462,B
0,RYYRBGGGBRYB,0.307692308,B
0,YBYBRRGGYGBR,0.166666667,B
0,RGBGRRBYBYYG,0.333333333,B
0,RGYYYGBRBRBG,0.307692308,B
0,YRGBBRGYGBYR,0.384615385,B
0,BYYRBRBGYGGR,0.25,B
0,BRGGRYRBGBYY,0.4,B
0,GBBBGYYRYRGR,0.307692308,B
0,GGBYYYRGBRRB,0.25,B
0,RGRRYGYGBBBY,0.3125,B
0,RBYRBYGGGBRY,0.166666667,B
0,YBYRRYGGRBGB,0.5,B
0,BGRYGBBRYYRG,0.583333333,B
0,GBBRGYGRRBYY,0.416666667,B
0,GBRRGGYRYYBB,0.384615385,B
0,GYYBBBGRRGYR,0.416666667,B
0,RBYGYRRGYGBB,0.333333333,B
0,GBRRYGBYRYGB,0.333333333,B
0,YGBGBRYYRBGR,0.461538462,B
0,GGYRYBYGRBRB,0.5,B
0,BGYRBGBYGRRY,0.333333333,B
0,YBGRGGYRBYRB,0.25,B
0,BYRRGBGYBYRG,0.5,B
0,YYRGBGBRGYBR,0.230769231,B
0,YGBBYGYRBGRR,0.333333333,B
0,GBRBGYYBRYRG,0.25,B
0,YBBGBGRYRRYG,0.333333333,B
0,RYBRBRBGGYYG,0.25,B
0,RBGGRYGBYRBY,0.416666667,B
0,RBGYGGBYYRRB,0.5,B
0,YYYGRGBRBRBG,0.307692308,B
0,BYBGGRRYYGBR,0.416666667,B
0,YYBGRRBGYGRB,0.461538462,B
0,RRYGBGBYRGBY,0.25,B
0,BYGRBGBYRGYR,0.583333333,B
0,YYGYBGRRGBRB,0.333333333,B
0,GBRRYYRGBYBG,0.333333333,B
0,YBRYYRGBRBGG,0.416666667,B
0,BBYRGYGRRGYB,0.416666667,B
0,YBRRBYYRGBGG,0.416666667,B
0,YGBRGBRYRYBG,0.333333333,B
0,GRYBGBGYRBYR,0.666666667,B
0,BRBGYGYRRBGY,0.333333333,B
0,RBYGBRGRYBGY,0.583333333,B
1,RGYGGRYGBBYRGB,0.357142857,B
1,YRGYRGYRGGBGB,0.153846154,B
1,BBRRGYRBRGYB,0.333333333,B
1,BGYBGYRGBYG,0.272727273,B
1,GBRYRYBGRYBRY,0.230769231,B
1,RBYBRBYGBYRGBY,0.214285714,B
1,GYBRBYGBRY,0.4,B
1,RRYYGYBRGRBYGB,0.285714286,B
1,RYGGBRYBRGYB,0.333333333,B
1,BYBYYRGRBRGRG,0.384615385,B
1,BRYGRRYBGYRB,0.333333333,B
1,RYBBGYBGRYBGYR,0.428571429,B
1,RBYYBRBGGRBGY,0.384615385,B
1,RGYBBYGYYBYGR,0.153846154,B
1,BRYYGGBRBRGY,0.5,B
1,YGRGYBGYRBGYB,0.307692308,B
1,RYRYBGGYBRYGB,0.307692308,B
1,YBYBRRGGYBGR,0.166666667,B
1,RGBGRRGBYGYB,0.333333333,B
1,RGYYGYGGRYGBG,0.307692308,B
1,YRBBGYRGYGYRB,0.384615385,B
1,RBYRBRBGYGYR,0.25,B
1,BRGGRBRGYRBGYBG,0.266666667,B
1,GBGBBBGYYGYGR,0.230769231,B
1,GGBYYRGRB,0.333333333,B
1,RGYGRYGGRYRGBBBY,0.4375,B
1,RBYRBYGGBYRY,0.083333333,B
1,RYBYYGBYGGRB,0.25,B
1,RYGBRGYBGYRR,0.25,B
1,GBRRGBRGRYY,0.181818182,B
1,GBRRYYGBYRBYB,0.461538462,B
1,GYBBBRYRGB,0.4,B
1,RBYGYBGYBGYB,0.166666667,B
1,GBRRYGYBGYB,0.363636364,B
1,YGBYYGYRBYGRY,0.384615385,B
1,GGYBRBYRYGYB,0.333333333,B
1,BGYRBYBRYGY,0.416666667,B
1,YBGRGGBYGB,0,B
1,RYBGBGBGYRBG,0.166666667,B
1,YYRGBGRYGYBGR,0.357142857,B
1,YGBBYGRYBGYB,0.5,B
1,GBRYGYBRYG,0.181818182,B
1,YBBYBGRRYBG,0.272727273,B
1,RYBRBRBGYGY,0.090909091,B
1,RBGYGYBRY,0,B
1,RBYGYYBGR,0.222222222,B
1,YYYRYGBGBRBGR,0.307692308,B
1,BYGGYBRRBYGR,0.076923077,B
1,YBGBYBGYRBGYB,0.153846154,B
1,RRYGBGBRYGRY,0.333333333,B
1,BRGYBRYGRYB,0.181818182,B
1,YGYBGYRGYGRB,0.5,B
1,GBRRYRBGYRBG,0.416666667,B
1,YBRYBRBYRG,0.2,B
1,BBYRYBRGBYRB,0.333333333,B
1,YRYBRBYRBGG,0.272727273,B
1,YGBRYBRYGBYG,0.416666667,B
1,GBGYRYGBGRGB,0.416666667,B
1,RBGGYGRRBGB,0.272727273,B
1,BRGYGRBYGRY,0.181818182,B
2,RGYGGRGYGRBB,0.307692308,B
2,YRGYRGYRGBGBG,0.153846154,B
2,BBRRGYGRBR,0.363636364,B
2,BGYBYGYRGYB,0.333333333,B
2,GBRYRYBGBR,0.545454545,B
2,RBYBRBYGBGRY,0.428571429,B
2,GYBRGYBG,0.111111111,B
2,RRYYGYBRRRYY,0.5,B
2,RYGGBGRGYBR,0.545454545,B
2,BYYBYBRGRGR,0.181818182,B
2,BRYGRYRB,0.555555556,B
2,RYBBYRGGRYB,0.5,B
2,RBYBRBBGGBYR,0.461538462,B
2,RGYBBYGYYGR,0.545454545,B
2,RBYYGBBRB,0.444444444,B
2,YGRGYGBGRGB,0.181818182,B
